"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-e-quitinete-mobiliados-no-centro-do-rio-de-janeiro-268015728";"Quarto e Quitinete mobiliados no Centro do Rio de Janeiro";550;"Rio de Janeiro";" Saúde";20081110;"Ladeira Felipe Neri, 20081110, Saúde, Rio de Janeiro, RJ";-22,8977369319708;-43,1808382212249
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/conjugado-ilha-do-governador-268011805";"Conjugado ilha do governador";500;"Rio de Janeiro";" Pitangueiras";21930380;"Rua Boogi-Woogi, 21930380, Pitangueiras, Rio de Janeiro, RJ";-22,8184972635213;-43,1806151550824
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelentes-quartos-na-taquara-prox-ao-guanabara-268011593";"Excelentes Quartos na Taquara, Prox. ao Guanabara";400;"Rio de Janeiro";" Tanque";22725640;"Rua São Calisto, 22725640, Tanque, Rio de Janeiro, RJ";-22,9132409602997;-43,3725272902896
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/procuro-apartamento-da-minha-casa-minha-vida-para-alugar-267969334";"Procuro apartamento da minha casa minha vida para alugar";700;"Rio de Janeiro";" Mangueira";20943001;"Rua Visconde de Niterói, 20943001, Mangueira, Rio de Janeiro, RJ";-22,9035730987738;-43,2414884261822
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/republica-masculina-267952610";"Republica masculina";600;"Niterói";" São Domingos";24210000;"Rua General Andrade Neves, 24210000, São Domingos, Niterói, RJ";-22,8981634483612;-43,1241233445087
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-copacabana-267938817";"Quarto em copacabana";800;"Rio de Janeiro";" Copacabana";22020040;"Rua Rodolfo Dantas, 22020040, Copacabana, Rio de Janeiro, RJ";-22,9655500550152;-43,1793185589485
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/republica-para-estudantes-ou-trabalhador-tenho-vagas-femininas-e-masculinas-267938494";"Republica para estudantes ou trabalhador. Tenho vagas femininas e masculinas";490;"Niterói";" São Domingos";24210590;"Rua Professor Lara Vilela, 24210590, São Domingos, Niterói, RJ";-22,9014441336689;-43,127476830747
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-para-moca-em-botafogo-267933833";"Quarto individual para moça em Botafogo";1250;"Rio de Janeiro";" Botafogo";22280100;"Rua Rodrigo de Brito, 22280100, Botafogo, Rio de Janeiro, RJ";-22,9559569816305;-43,1825903375663
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vaga-ideal-para-mocas-copacabana-267920755";"Vaga ideal para moças, copacabana";650;"Rio de Janeiro";" Copacabana";22040002;"Rua Barata Ribeiro, 22040002, Copacabana, Rio de Janeiro, RJ";-22,9681380232263;-43,1850840625282
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-267914865";"Quarto individual";800;"Rio de Janeiro";" Gávea";22451000;"Avenida Padre Leonel Franca, 22451000, Gávea, Rio de Janeiro, RJ";-22,9812537352143;-43,2330074650352
